|     Name      |     Text      |
| ------------- | ------------- |
| GamerBoomTV Dan  | Support++ bestes Support Script für Sinusbot. Macht schon Spaß mit den anderen coolen Devs an so einem großen Projekt zu arbeiten danke das ich ein Teil davon seine darf |
| Rubmcraft Elias |  Teamspeak: Addbit.eu |
| Fynnx | Abonniert mich! |
| Jason | DJJayT |  Wer ein gutes Support Script braucht und einen guten Geschmack hat benutzt Support++ ;) |
| Cutes-Gaming.net | Cutes-Gaming.net dein Minecraft Netzwerk |
| Timo_sf  | Das Heranziehen der nächsten Generation ist eine Ehrenvolle und Bewusste Aufgabe |
| # | # |
| Kryben | Super Support Script, hilft uns bei der GermanProLeague den Usern Voice Support zu bieten! |
| DarkTV_Original | Ihr seit die besten |
| SecureIM | Danke für das tolle Script. Eine nette Erweiterung für den secureim.de TS3-Server. |
| Chriss | Natürlich gehe ich mit dem Kopf durch die Wand! Schließlich soll ich ja meinen eigenen Weg gehen! |
| Abydos | Support is not only experience, but also learning |
| Herr_Minecraft Niklas| Euer Plugin wird auf HeroLabsEU genutzt :D |
| Nxtmaster | Vielen Dank für das tolle Support Script und für die tolle Zeit in Team ich hoffe auf eine gute weiter Zeit! |
